order_id,date,category,unit_price,quantity,discount_pct,revenue,region,channel
1700,2025-01-01,Electronics,656.72,4,5,2495.54,North,Online
2342,2025-01-01,Electronics,379.06,2,5,720.21,West,Online
3434,2025-01-01,Electronics,686.61,2,0,1373.22,South,Online
3895,2025-01-01,Electronics,297.44,1,0,297.44,East,Online
4341,2025-01-01,Electronics,260.4,3,10,703.08,South,In-Store
5668,2025-01-01,Clothing,28.34,4,0,113.36,East,Online
5759,2025-01-01,Clothing,67.21,3,0,201.63,West,Online
5875,2025-01-01,Clothing,110.01,5,0,550.05,West,In-Store
1502,2025-01-02,Home & Kitchen,171.05,2,0,342.1,East,Online
1599,2025-01-02,Sports,109.89,5,5,521.98,West,Online
2205,2025-01-02,Clothing,42.79,2,0,85.58,North,Online
2490,2025-01-02,Books,32.99,5,15,140.21,North,In-Store
3136,2025-01-02,Electronics,190.89,5,0,954.45,East,Online
3548,2025-01-02,Clothing,98.44,3,0,295.32,South,Online
4845,2025-01-02,Home & Kitchen,134.75,5,0,673.75,West,Online
5649,2025-01-02,Clothing,80.7,5,0,403.5,South,Online
5754,2025-01-02,Home & Kitchen,72.57,1,0,72.57,North,Online
1215,2025-01-03,Electronics,273.0,3,0,819.0,South,Online
1763,2025-01-03,Sports,34.5,4,5,131.1,South,In-Store
2540,2025-01-03,Sports,41.19,5,0,205.95,East,In-Store
2770,2025-01-03,Books,24.21,1,0,24.21,East,Online
2952,2025-01-03,Sports,140.52,4,15,477.77,North,Online
3269,2025-01-03,Clothing,23.5,2,0,47.0,East,Online
3322,2025-01-03,Electronics,337.42,5,20,1349.68,West,In-Store
3580,2025-01-03,Clothing,105.74,3,0,317.22,North,Online
3839,2025-01-03,Books,30.45,1,0,30.45,West,In-Store
4032,2025-01-03,Electronics,412.95,1,0,412.95,North,Online
4335,2025-01-03,Home & Kitchen,171.05,5,0,855.25,West,Online
4932,2025-01-03,Electronics,867.36,3,0,2602.08,West,Online
5674,2025-01-03,Books,34.24,1,0,34.24,West,Online
1038,2025-01-04,Electronics,634.1,1,20,507.28,West,In-Store
1220,2025-01-04,Sports,157.03,4,0,628.12,West,Online
1316,2025-01-04,Clothing,89.57,5,5,425.46,West,Online
2237,2025-01-04,Clothing,99.17,3,5,282.63,North,Online
2768,2025-01-04,Electronics,865.98,2,0,1731.96,North,In-Store
3056,2025-01-04,Home & Kitchen,208.76,3,15,532.34,North,Online
3440,2025-01-04,Clothing,32.12,1,0,32.12,West,Online
3603,2025-01-04,Books,5.89,1,0,5.89,North,Online
3640,2025-01-04,Electronics,445.12,5,5,2114.32,South,Online
3653,2025-01-04,Sports,66.85,1,5,63.51,West,Online
4332,2025-01-04,Home & Kitchen,218.26,4,0,873.04,West,In-Store
4977,2025-01-04,Sports,91.27,4,0,365.08,North,Online
4983,2025-01-04,Electronics,748.45,3,0,2245.35,North,Online
5001,2025-01-04,Clothing,54.08,2,0,108.16,South,In-Store
